year,day,level
1997,15/06,7.4
1997,16/06,7.1
1997,17/06,6.8
1997,18/06,6.6
1997,19/06,6.5
1997,20/06,6.6
1997,21/06,6.4
1997,22/06,6.1
1997,23/06,6
1997,24/06,6.1
1997,25/06,6.3
1997,26/06,6.4
1997,27/06,6.4
1997,28/06,6.3
1997,29/06,6.7
1997,30/06,7.5
1997,01/07,8.1
1997,02/07,8.9
1997,03/07,10.3
1997,04/07,11.6
1997,05/07,12.5
1997,06/07,12.9
1997,07/07,12.9
1997,08/07,12.8
1997,09/07,12.8
1997,10/07,12.7
1997,11/07,12.7
1997,12/07,12.5
1997,13/07,12.5
1997,14/07,12.3
1997,15/07,12.1
1997,16/07,12
1997,17/07,11.8
1997,18/07,11.8
1997,19/07,11.6
1997,20/07,11.4
1997,21/07,11.3
1997,22/07,11
1997,23/07,10.07
1997,24/07,10.2
1997,25/07,9.6
1997,26/07,9
1997,27/07,8.3
1997,28/07,7.6
1997,29/07,6.8
1997,30/07,6.2
1997,31/07,5.7
2009,01/03,2.4
2009,02/03,2.5
2009,03/03,2.6
2009,04/03,2.7
2009,05/03,2.7
2009,06/03,2.8
2009,07/03,2.8
2009,08/03,2.7
2009,09/03,2.7
2009,10/03,2.6
2009,11/03,2.6
2009,12/03,2.5
2009,13/03,2.5
2009,14/03,2.6
2009,15/03,2.7
2009,16/03,2.9
2009,17/03,3
2009,18/03,2.7
2009,19/03,2.7
2009,20/03,3.1
2009,21/03,3.6
2009,22/03,4.8
2009,23/03,8.3
2009,24/03,12.7
2009,25/03,15.9
2009,26/03,18.6
2009,27/03,17
2009,28/03,16.7
2009,29/03,16.8
2009,30/03,17.1
2009,31/03,17.3
2009,01/04,17.3
2009,02/04,17.1
2009,03/04,16.7
2009,04/04,16.6
2009,05/04,16.8
2009,06/04,17
2009,07/04,17.4
2009,08/04,18.1
2009,09/04,18.9
2009,10/04,18.7
2009,11/04,20.1
2009,12/04,19.3
2009,13/04,19
2009,14/04,21
2009,15/04,21.5
2009,16/04,22.4
2009,17/04,21.9
2009,18/04,20.9
2009,19/04,20.9
2009,20/04,20.8
2009,21/04,20.6
2009,22/04,20.4
2009,23/04,20.3
2009,24/04,20
2009,25/04,19.8
2009,26/04,19.5
2009,27/04,19.5
2009,28/04,19.3
2009,29/04,19
2009,30/04,18.8
2009,01/05,18.5
2009,02/05,18.1
2009,03/05,18.1
2009,04/05,18.3
2009,05/05,18.1
2009,06/05,17.8
2009,07/05,17.6
2009,08/05,17.4
2009,09/05,17.4
2009,10/05,17.2
2009,11/05,17.2
2009,12/05,16.9
2009,13/05,16.8
2009,14/05,17.1
2009,15/05,17
2009,16/05,16.8
2009,17/05,16.7
2009,18/05,16.4
2009,19/05,16.5
2009,20/05,16
2009,21/05,15.7
2009,22/05,15.6
2009,23/05,15.6
2009,24/05,15.8
2009,25/05,15.7
2009,26/05,15.4
2009,27/05,15
2009,28/05,14.9
2009,29/05,14.9
2009,30/05,14.9
2009,31/05,14.7
2009,01/06,14.3
2009,02/06,14
2009,03/06,13.6
2009,04/06,13.1
2009,05/06,12.6
2009,06/06,12.1
2009,07/06,11.4
2009,08/06,10.8
2009,09/06,10.5
2009,10/06,9.9
2009,11/06,9.4
2009,12/06,9
2009,13/06,8.6
2009,14/06,8.1
2009,15/06,8.1
2009,16/06,7.9
2009,17/06,7.7
2009,18/06,7.4
2009,19/06,7.5
2009,20/06,7.6
2009,21/06,7.4
2009,22/06,7.4
2009,23/06,7.4
2009,24/06,7.5
2009,25/06,7.8
2009,26/06,7.9
2009,27/06,9.2
2009,28/06,10.7
2009,29/06,12.4
2009,30/06,13.5
2009,01/07,14.3
2009,02/07,14.7
2009,03/07,14.9
2009,04/07,15
2009,05/07,14.9
2009,06/07,14.7
2009,07/07,14.4
2009,08/07,13.9
2009,09/07,13.2
2009,10/07,12.5
2009,11/07,10.6
2009,12/07,9.4
2009,13/07,8.1
2009,14/07,7.1
2009,15/07,7.7
2009,16/07,7.4
2009,17/07,6.8
2009,18/07,6.5
2009,19/07,6.4
2009,20/07,6.5
2009,21/07,6.5
2009,22/07,6.4
2009,23/07,6.5
2009,24/07,6.5
2009,25/07,6.7
2009,26/07,6.4
2009,27/07,6.1
2009,28/07,6
2009,29/07,6.1
2009,30/07,6.4
2009,31/07,6.5
2011,01/03,5.6
2011,02/03,5.6
2011,03/03,5.6
2011,04/03,5.7
2011,05/03,5.7
2011,06/03,5.7
2011,07/03,5.6
